,School,Accredited,Origin,CourseID,Descriptions
0,Adrian College,0,CHEM 315,CHEM 341 Biochemistry I,"Coverage of the chemistry and biological significance of biological macromolecules including nucleic acids, proteins, lipids and carbohydrates. Special emphasis on macromolecular structure, function, and enzyme mechanisms and kinetics."
1,Adrian College,0,CHEM 316,CHEM 342 Biochemistry II,"Coverage of the biosynthesis and metabolism of nucleic acids, proteins, cofactors, amino acids, lipids and carbohydrates. Special emphasis on cellular utilization of energy and the control of metabolism at the genetic and enzymatic level."
2,Aquinas College,0,CHEM 315,CY 325 Biochemistry,"A first course in biochemistry for science majors. Topics include biomolecules, enzymes and their mechanisms of action, biological energetics, nucleic acids (their structure and function), and carbohydrate, protein, and lipid metabolism. "
3,Ball State University,0,CHEM 315,CHEM 463 Principles of Biochemistry 1 ,"Chemistry of proteins, enzymes, nucleic acids, carbohydrates, and lipids. For chemistry, life sciences, and premedicine majors. "
5,Bethel College,0,CHEM 315,BIOL 460 Biochemistry,"An introduction to the major groups of biochemical molecules, the catabolic processes which derive energy from them and the anabolic processes which produce them. Special attention is given to basic metabolic cycles and pathways (glycolysis, the TCA cycle, electron transport and oxidation phosphorylation) and to carbohydrate, lipid, protein and nucleic acid biosynthesis. These processes are related to cells and cellular substructure. "
6,Bethel College,0,CHEM 315,CHEM 460 Biochemistry,"An introduction to the major groups of biochemical molecules, the catabolic processes which derive energy from them and the anabolic processes which produce them. Special attention is given to basic metabolic cycles and pathways (glycolysis, the TCA cycle, electron transport and oxidation phosphorylation) and to carbohydrate, lipid, protein and nucleic acid biosynthesis. These processes are related to cells and cellular substructure. "
7,Butler University,0,BIO 460,BI-350 Cell Biology,
8,Butler University,0,CHEM 315,CH-361 Introduction to Biochemistry,"This course introduces the three-dimensional structure of macromolecular biopolymers (proteins, nucleic acids, polysaccharides) and their constituent small molecule building blocks (amino acids, nucleotides, monosaccharides).  Intermolecular forces that contribute to the relative thermodynamic stability of the conformations of these macromolecules will be addressed, including acid-base equilibria that dictate distributions of formal charge. Biological function is introduced, presuming no biology course background. This course counts toward completion of a chemistry major/minor and meets the biochemistry requirement for ACS-certification; this course does not count toward a biochemistry major nor as a prerequisite for Biochemistry 2 (CH462), and does not fully cover MCAT content. "
9,Butler University,0,CHEM 316,CH-462 Biochemistry IIA - Central Metabolism,"Topics include carbohydrate and lipid metabolism, electron transport and oxidative phosphorylation, and biological membranes (structure, transport, and signal transduction). "
10,Central Michigan Univ,1,BIO 460,BIO-324 Cell Biology,"Cell structure, nature and function of cellular organs, the plasma membrane, cell cycle, cell aging. Prerequisite: 12 hours of biology; CHM 120, CHM 127, and CHM 342 (may be taken concurrently); OR CHM 131 and CHM 132; OR CHM 161 and CHM 211."
11,Central Michigan Univ,1,CHEM 315,CHM-425 Introductory Biochemistry,"Structure, function, and metabolism of proteins, carbohydrates, lipids, and nucleic acids. "
12,Chicago State University,0,BIO 460,BIOL 3050,
13,College of William and Mary,0,CHEM 315,BIOL-314 Biochemistry,"The molecular basis of living processes; the chemistry of important constituents of living matter, biosynthesis, metabolism, bioenergetics, enzyme kinetics, metabolic control, transport mechanisms."
14,Colorado State University,1,BIO 460,LIFE 210,"Structure and function of macromolecules focusing on proteins and lipid bilayers. Cellular composition, organelles and trafficking between them. Basic metabolism, cell signaling and proliferation control."
15,Colorado State University,1,BIO 460,LIFE 212,Molecular aspects of cellular and subcellular biology and introductory biochemistry laboratory.
16,Colorado State University,1,CHEM 315,BC 351,Structure and function of biological molecules; biocatalysis; metabolism and energy transduction.
17,Concordia University Irvine,0,BIO 460,BIO 350,
18,DePaul University,0,BIO 460,BIO 250,"Includes laboratory. A general overview of microbiology. Topics covered include microbial genetics, physiology, evolution and ecology, microbial techniques and the interplay between microbial life and the human environment. "
19,DePauw University,0,BIO 460,BIO 314,"Includes laboratory. A study of the dynamic aspects of the structure, function and regulation of eukaryotic cells. The molecular nature of the gene and gene expression are examined. The intercellular functions that maintain cell viability and the coordination between cell in multicellular organisms are examined. "
20,DePauw University,0,CHEM 315,CHEM 240,"An introduction to the molecules of living organisms. Topics will include the chemical and physical nature of biological macromolecules, including proteins, nucleic acids, lipids and carbohydrates. The lab will emphasize characterization of biomolecules using common biochemical techniques. Physical and computer models will be utilized in both class and lab."
21,Earlham College,1,BIO 460,BIOL 341,
22,Earlham College,1,CHEM 315,CHEM 351,
23,Grand Valley State University,0,CHEM 315,CHM 461,"An introduction to biochemistry for science majors. Topics include the structure and function of biological molecules, bioenergetics, biochemical reaction mechanisms, and intermediary metabolism. Offered fall and winter semesters."
